상품명,가격
셀리턴 익스룩스 PEMF 헬스케어 전문기기,"1,700,000원"
파크짐 서울역점 헬스장,"360,000원"
판매완료,광화문 헬스장 6개월 양도(40만원)
광화문 헬스장 6개월 양도(40만원),"400,000원"
판매완료,바디채널 헬스장 회원권
바디채널 헬스장 회원권,"50,000원"
판매완료,바벨 원판 세트 헬스 벤치
바벨 원판 세트 헬스 벤치,"10,000원"
오쿠 헬스쿡 OC-7700R 만능쿠커,"50,000원"
호텔 나루 서울 엠갤러리 프리미어 리버뷰 숙박권/부아쟁 조식포함,"380,000원"
4/4)여의도 페어몬트 앰배서더 호텔 스위트룸 숙박권/골드라운지포함,"700,000원"
JW 메리어트 동대문 호텔 숙박권(라운지포함),"420,000원"
주말가능)페어몬트 호텔 스위트룸 숙박권 골드라운지포함(win e증정),"650,000원"
젝시믹스 크레이카키 색상 반팔 크롭탑,"5,000원"
농담곰 근육 인형 몸짱 헬창 새제품 복근 곰인형,"9,000원"
스파오 아노락 바람막이,"11,800원"
동대문 시그니처짐 양도권 팝니다(4개월),"150,000원"
남자가 되고 싶은 그대... 설치하라!!!,"30,000원"
성신여대 짐박스 이용권 4개월(~25.3.9) 팝니다.,"99,000원"
Puma 회색 운동화 245,"10,000원"
종로 자마이카 휘트니스 스파+헬스+골프,"1,350,000원"
은성 V301 가정용 헬스 자전거,나눔
반석 다이아몬드 헬스 자전거,나눔
나이키 일본 헬스 운동가방,"40,000원"
백퍼센트 아카데미(혜화) 헬스 이용권 양도합니다!,"180,000원"
종각 자마이카피트니스앤스파 헬스 양도 (~25년 1월),"750,000원"
새제품 통소가죽 리프팅 헬스 웨이트 벨트,"65,000원"
로그 피트니스 20kg 중량봉 / 로그 플레이트,"250,000원"
바디채널 혜화점 양도권 판매,"210,000원"
에이더 바디바인 테이핑 무릎보호대,"42,000원"
판매완료,"히트앤핏 성신여대점 회원권 양도 합니다.(킥복싱+크로스핏), 다이어트 효과 굳"
"히트앤핏 성신여대점 회원권 양도 합니다.(킥복싱+크로스핏), 다이어트 효과 굳","205,000원"
동대문 시그니처짐 양도합니다.,"450,000원"
[이사정리] 베르사체 더플백 판매합니다,"130,000원"
룰루레몬 남성 못구하는올리브색상,"28,000원"
🔥이고진 헬스런 미용아령 네오플랜 민트2kg*2개,"2,000원"
은성헬스 실내 자전거,나눔
X-BIKE III 가정용 헬스 자전거,"20,000원"
"270 RAD ONE v1 크로스핏,헬스신발","66,000원"
[새상품]농협헬스케어 건강한 배도라지 스틱 10g x 30포(쇼핑백동봉),"14,000원"
판매완료,헤화역 백퍼센트짐 헬스회원권(6개월)
헤화역 백퍼센트짐 헬스회원권(6개월),"150,000원"
슈퍼스타 휘트니스 대학로 6개월 헬스장 양도,"100,000원"
헬스장 양도합니다.,"400,000원"
판매완료,백퍼센트짐 헬스 8개월 회원권 양도
백퍼센트짐 헬스 8개월 회원권 양도,"260,000원"
시청앞 호텔 헬스장 8개월 양도,"250,000원"
어메이징휘트니스 혜화점 헬스장 양도 (2.5개월),"80,000원"
백퍼센트짐 헬스/골프 이벤트,"300,000원"
혜화 백퍼센트짐 헬스장 양도 (4개월),"180,000원"
판매완료,백퍼센트 헬스장 7개월 회원권 양도
백퍼센트 헬스장 7개월 회원권 양도,"210,000원"
바디채널 헬스+바레 이용권 74일(-7.1),"140,000원"
판매완료,[골프] 혜화 백퍼센트짐 골프(+헬스) 회원권 양도합니다 :)
[골프] 혜화 백퍼센트짐 골프(+헬스) 회원권 양도합니다 :),"200,000원"
바디채널 혜화 헬스장 양도 (133일),"135,000원"
100%ACADEMY 헬스장 9개월 양도합니다(대학로 스타벅스 동숭로점 건물 B1),"400,000원"
혜화 헬스장 바디채널 양도합니다,"380,000원"
판매완료,백퍼센트짐 헬스 회원권 양도
백퍼센트짐 헬스 회원권 양도,"280,000원"
[헬스장 양도] 바디채널 혜화점 3개월 싸게 양도합니다(+1개월 더!!),"210,000원"
라지 베르사그립 프로 헬스 스트랩,"70,000원"
판매완료,코리아나호텔 헬스 회원권 13개월
코리아나호텔 헬스 회원권 13개월,"550,000원"
자마이카휘트니스 종로점 7개월권(헬스+사우나+운동복+개인락커) 양도합니다,"590,000원"
헬스 스트랩,"5,000원"
"테니스화, 헬스화 (275)","20,000원"
시나브로 카본그립 리프팅 그립 헬스 운동용,"6,000원"
[새상품] 아르기닌 초고함량 1포당 7000mg 헬스보충제 BCAA 류신 마카 단백질,"12,000원"
오즈윈드 바디 드라이어 다이아몬드,"80,000원"
"인바디 InBody 230, 프린터, 인바디 용지","349,000원"
★★★바디채널 혜화 400일 양도(라커포함)★★★,"500,000원"
한성대입구 백퍼센트짐 3개월 양도합니다,"120,000원"
"18년 맥북프로 스그 15인치 터치바 ram16, 메모리 500 상태좋음","495,000원"
판매완료,휘트니스인 길음점 회원권 292일 양도합니다!
휘트니스인 길음점 회원권 292일 양도합니다!,"350,000원"
나이키 w 블레이저 로우 (스웨이드) 245,"27,000원"
특허받은 편백나무 복합식 반신욕기,"150,000원"
장수돌침대 무선 핸디형 안마기,"14,000원"
레드 컬러 풀다운 그립 2개 세트 판매합니다!,"37,000원"
소니 무선 헤드폰 WH-CH720N,"80,000원"
m1 max 64GB 512GB,"2,100,000원"
룰루레몬 lululemon 반바지 사이즈 8 (거의 새것 66-77사이즈),"30,000원"
뉴발란스 러닝화 M420LB3 새상품 New Balance,"45,000원"
ZERO TO HERO 발목 스트랩,"6,000원"
언더아머 프로젝트 락 겟 투 워크 슬리브리스 SM,"9,500원"
반스 어센틱 그린 300사이즈 판매합니다.,"5,000원"
필터 (1),헬스 바벨 원판 100kg 이상 전완 조끼 40kg 이상 일괄 판매
헬스 바벨 원판 100kg 이상 전완 조끼 40kg 이상 일괄 판매,나눔
헬스 허리보호대 역도 벨트,"20,000원"
동묘역 스파렉스 헬스. 골프 연습장,"150,000원"
동묘앞역 스포애니헬스장 양도,"80,000원"
반석스포츠 운동 홈트 인클라인 벤치,"25,000원"
삼성 갤럭시 워치7 40mm 실버 새상품,"200,000원"
모아클래스 EPP폼롤러,"9,000원"
필터 (1),골든몽키짐 헬스&PT 2호점 회원권 판매
골든몽키짐 헬스&PT 2호점 회원권 판매,"130,000원"
에이블짐 창신점 헬스장이용권 및 락커 이용권 팝니다,"120,000원"
에이블짐 헬스이용권 팝니다,"170,000원"
정품 알로 요가 헬스 가방,"10,000원"
총 3개! 정품 나이키 2개 DKNY 1개 요가 헬스 바지 판매해요,"17,000원"
새상품 폴로 랄프로렌 핑크 토트백,"19,000원"
정품 아디다스 겨울후드집업 블랙,"29,000원"
정품 푸마 화이트/레드 포인트 운동화,"8,000원"
정품 랄프로렌 노랑 반팔 티셔츠,나눔
